n_miast;pop;limit_pokolen;p_mut;p_cross;elite_pct;best_len;dl_na_miasto;best_gen;gen_run;seed;tolerancja;czas_s
80;800;100;0.4;0.6;0.03;10183.62;127.295;94;100;5;;597.844
80;800;100;0.4;0.6;0.05;10526.85;131.586;92;100;0;;600.281
80;800;100;0.4;0.6;0.05;10234.6;127.933;99;100;1;;602.703
80;800;100;0.4;0.6;0.05;10421.09;130.264;99;100;2;;604.766
80;800;100;0.4;0.6;0.05;9470.16;118.377;97;100;3;;607.062
80;800;100;0.4;0.6;0.05;10450.66;130.633;99;100;4;;609.375
80;800;100;0.4;0.6;0.05;9761.39;122.017;99;100;5;;612.094
80;800;100;0.4;0.6;0.1;9015.88;112.699;98;100;0;;614.406
80;800;100;0.4;0.6;0.1;10417.48;130.219;98;100;1;;616.828
80;800;100;0.4;0.6;0.1;9907.6;123.845;99;100;2;;619.312
80;800;100;0.4;0.6;0.1;8413.17;105.165;100;100;3;;621.625
80;800;100;0.4;0.6;0.1;9840.19;123.002;99;100;4;;623.812
80;800;100;0.4;0.6;0.1;9841.35;123.017;99;100;5;;626.156
80;800;100;0.4;0.6;1.3;16793.52;209.919;1;100;0;;628.094
80;800;100;0.4;0.6;1.3;15878.11;198.476;1;100;1;;629.844
80;800;100;0.4;0.6;1.3;16810.28;210.129;1;100;2;;631.609
80;800;100;0.4;0.6;1.3;15709.18;196.365;1;100;3;;633.234
80;800;100;0.4;0.6;1.3;17316.76;216.459;1;100;4;;634.812
80;800;100;0.4;0.6;1.3;16733.88;209.173;1;100;5;;636.594
100;1000;100;0.0;1.0;0.0;17179.09;171.791;82;100;0;;641.25
100;1000;100;0.0;1.0;0.0;18841.14;188.411;61;100;1;;645.594
100;1000;100;0.0;1.0;0.0;19149.67;191.497;100;100;2;;650.391
100;1000;100;0.0;1.0;0.0;18378.57;183.786;100;100;3;;655.016
100;1000;100;0.0;1.0;0.0;18851.42;188.514;93;100;4;;659.453
100;1000;100;0.0;1.0;0.0;19211.51;192.115;76;100;5;;663.875
100;1000;100;0.0;1.0;0.03;14953.56;149.536;98;100;0;;668.609
100;1000;100;0.0;1.0;0.03;14868.19;148.682;94;100;1;;673.344
100;1000;100;0.0;1.0;0.03;15399.18;153.992;96;100;2;;678.109
100;1000;100;0.0;1.0;0.03;13975.43;139.754;97;100;3;;683.203
100;1000;100;0.0;1.0;0.03;17278.27;172.783;92;100;4;;687.828
100;1000;100;0.0;1.0;0.03;14866.57;148.666;97;100;5;;692.328
100;1000;100;0.0;1.0;0.05;14082.48;140.825;96;100;0;;696.969
100;1000;100;0.0;1.0;0.05;13339.33;133.393;94;100;1;;701.797
100;1000;100;0.0;1.0;0.05;15268.03;152.68;94;100;2;;706.562
100;1000;100;0.0;1.0;0.05;13513.7;135.137;100;100;3;;711.062
100;1000;100;0.0;1.0;0.05;15357.92;153.579;96;100;4;;715.844
100;1000;100;0.0;1.0;0.05;14525.75;145.258;99;100;5;;720.625
100;1000;100;0.0;1.0;0.1;12392.98;123.93;98;100;0;;725.234
100;1000;100;0.0;1.0;0.1;13485.39;134.854;97;100;1;;729.094
100;1000;100;0.0;1.0;0.1;13795.25;137.952;100;100;2;;733.781
100;1000;100;0.0;1.0;0.1;12446.74;124.467;100;100;3;;738.484
100;1000;100;0.0;1.0;0.1;13909.94;139.099;94;100;4;;743.062
100;1000;100;0.0;1.0;0.1;13517.26;135.173;96;100;5;;747.812
100;1000;100;0.0;1.0;1.3;20002.6;200.026;1;100;0;;750.375
100;1000;100;0.0;1.0;1.3;20771.07;207.711;1;100;1;;753.203
100;1000;100;0.0;1.0;1.3;21418.55;214.186;1;100;2;;756.266
100;1000;100;0.0;1.0;1.3;20288.48;202.885;1;100;3;;759.141
100;1000;100;0.0;1.0;1.3;21733.44;217.334;1;100;4;;761.875
100;1000;100;0.0;1.0;1.3;20859.95;208.6;1;100;5;;764.75
100;1000;100;0.05;0.95;0.0;17374.33;173.743;94;100;0;;769.25
100;1000;100;0.05;0.95;0.0;18586.56;185.866;97;100;1;;773.984
100;1000;100;0.05;0.95;0.0;18411.0;184.11;100;100;2;;778.812
100;1000;100;0.05;0.95;0.0;16180.12;161.801;99;100;3;;783.141
100;1000;100;0.05;0.95;0.0;17934.43;179.344;81;100;4;;787.625
100;1000;100;0.05;0.95;0.0;18263.24;182.632;93;100;5;;792.453
100;1000;100;0.05;0.95;0.03;13716.09;137.161;99;100;0;;797.125
100;1000;100;0.05;0.95;0.03;15013.75;150.138;100;100;1;;802.062
100;1000;100;0.05;0.95;0.03;14871.28;148.713;90;100;2;;806.609
100;1000;100;0.05;0.95;0.03;15255.31;152.553;98;100;3;;811.359
100;1000;100;0.05;0.95;0.03;15884.7;158.847;98;100;4;;816.219
100;1000;100;0.05;0.95;0.03;15394.69;153.947;98;100;5;;821.156
100;1000;100;0.05;0.95;0.05;14825.93;148.259;94;100;0;;825.828
100;1000;100;0.05;0.95;0.05;14444.04;144.44;100;100;1;;830.719
100;1000;100;0.05;0.95;0.05;15260.23;152.602;97;100;2;;835.234
100;1000;100;0.05;0.95;0.05;14172.88;141.729;97;100;3;;841.844
100;1000;100;0.05;0.95;0.05;14838.51;148.385;96;100;4;;849.766
100;1000;100;0.05;0.95;0.05;14501.58;145.016;96;100;5;;857.5
100;1000;100;0.05;0.95;0.1;12839.18;128.392;97;100;0;;865.391
100;1000;100;0.05;0.95;0.1;12435.12;124.351;100;100;1;;872.844
100;1000;100;0.05;0.95;0.1;13406.34;134.063;98;100;2;;878.156
100;1000;100;0.05;0.95;0.1;13312.11;133.121;98;100;3;;883.125
100;1000;100;0.05;0.95;0.1;14185.85;141.859;99;100;4;;889.969
100;1000;100;0.05;0.95;0.1;13164.01;131.64;98;100;5;;896.656
100;1000;100;0.05;0.95;1.3;20002.6;200.026;1;100;0;;899.984
100;1000;100;0.05;0.95;1.3;20771.07;207.711;1;100;1;;906.453
100;1000;100;0.05;0.95;1.3;21418.55;214.186;1;100;2;;913.109
