n_miast;pop;limit_pokolen;p_mut;p_cross;elite_pct;best_len;dl_na_miasto;best_gen;gen_run;seed;tolerancja;czas_s
80;800;100;0.0;1.0;1.3;17316.76;216.459;1;100;4;;262.344
80;800;100;0.0;1.0;1.3;16733.88;209.173;1;100;5;;265.391
80;800;100;0.05;0.95;0.0;14749.26;184.366;73;100;0;;270.281
80;800;100;0.05;0.95;0.0;15012.26;187.653;61;100;1;;274.859
80;800;100;0.05;0.95;0.0;15093.24;188.665;92;100;2;;279.938
80;800;100;0.05;0.95;0.0;12516.41;156.455;84;100;3;;284.922
80;800;100;0.05;0.95;0.0;15682.24;196.028;75;100;4;;289.875
80;800;100;0.05;0.95;0.0;15147.56;189.344;90;100;5;;294.906
80;800;100;0.05;0.95;0.03;12428.02;155.35;100;100;0;;299.922
80;800;100;0.05;0.95;0.03;12501.25;156.266;99;100;1;;304.828
80;800;100;0.05;0.95;0.03;12475.18;155.94;98;100;2;;309.953
80;800;100;0.05;0.95;0.03;11366.19;142.077;99;100;3;;314.688
80;800;100;0.05;0.95;0.03;13159.31;164.491;97;100;4;;318.969
80;800;100;0.05;0.95;0.03;12785.81;159.823;96;100;5;;323.016
80;800;100;0.05;0.95;0.05;10852.37;135.655;93;100;0;;327.562
80;800;100;0.05;0.95;0.05;11992.57;149.907;94;100;1;;331.688
80;800;100;0.05;0.95;0.05;11580.02;144.75;99;100;2;;336.109
80;800;100;0.05;0.95;0.05;11154.81;139.435;86;100;3;;340.766
80;800;100;0.05;0.95;0.05;11257.28;140.716;100;100;4;;346.578
80;800;100;0.05;0.95;0.05;12574.01;157.175;95;100;5;;350.938
80;800;100;0.05;0.95;0.1;10807.12;135.089;96;100;0;;355.828
80;800;100;0.05;0.95;0.1;10636.04;132.95;100;100;1;;361.047
80;800;100;0.05;0.95;0.1;10954.08;136.926;99;100;2;;365.641
80;800;100;0.05;0.95;0.1;10571.87;132.148;97;100;3;;369.891
80;800;100;0.05;0.95;0.1;10901.15;136.264;95;100;4;;375.734
80;800;100;0.05;0.95;0.1;11689.31;146.116;97;100;5;;380.469
80;800;100;0.05;0.95;1.3;16793.52;209.919;1;100;0;;383.156
80;800;100;0.05;0.95;1.3;15878.11;198.476;1;100;1;;386.078
80;800;100;0.05;0.95;1.3;16810.28;210.129;1;100;2;;388.625
80;800;100;0.05;0.95;1.3;15709.18;196.365;1;100;3;;392.0
80;800;100;0.05;0.95;1.3;17316.76;216.459;1;100;4;;395.266
80;800;100;0.05;0.95;1.3;16733.88;209.173;1;100;5;;398.234
80;800;100;0.1;0.9;0.0;14635.84;182.948;82;100;0;;402.391
80;800;100;0.1;0.9;0.0;13670.92;170.887;61;100;1;;406.641
80;800;100;0.1;0.9;0.0;15800.87;197.511;64;100;2;;411.172
80;800;100;0.1;0.9;0.0;13905.53;173.819;72;100;3;;415.562
80;800;100;0.1;0.9;0.0;16042.37;200.53;65;100;4;;420.484
80;800;100;0.1;0.9;0.0;14809.25;185.116;85;100;5;;425.5
80;800;100;0.1;0.9;0.03;12633.39;157.917;76;100;0;;429.781
80;800;100;0.1;0.9;0.03;12286.39;153.58;83;100;1;;434.078
80;800;100;0.1;0.9;0.03;12647.69;158.096;81;100;2;;438.922
80;800;100;0.1;0.9;0.03;11563.59;144.545;90;100;3;;443.297
80;800;100;0.1;0.9;0.03;12911.56;161.395;88;100;4;;447.312
80;800;100;0.1;0.9;0.03;13007.88;162.598;85;100;5;;450.781
80;800;100;0.1;0.9;0.05;11797.3;147.466;98;100;0;;454.062
80;800;100;0.1;0.9;0.05;11806.25;147.578;99;100;1;;458.625
80;800;100;0.1;0.9;0.05;11828.16;147.852;95;100;2;;465.469
80;800;100;0.1;0.9;0.05;10629.94;132.874;99;100;3;;473.562
80;800;100;0.1;0.9;0.05;11776.69;147.209;98;100;4;;480.516
80;800;100;0.1;0.9;0.05;12192.01;152.4;94;100;5;;486.031
80;800;100;0.1;0.9;0.1;10435.23;130.44;97;100;0;;490.938
80;800;100;0.1;0.9;0.1;9893.38;123.667;94;100;1;;496.141
80;800;100;0.1;0.9;0.1;11086.97;138.587;96;100;2;;501.844
80;800;100;0.1;0.9;0.1;10431.41;130.393;98;100;3;;507.062
80;800;100;0.1;0.9;0.1;10549.81;131.873;99;100;4;;511.594
80;800;100;0.1;0.9;0.1;10367.56;129.595;88;100;5;;516.188
80;800;100;0.1;0.9;1.3;16793.52;209.919;1;100;0;;518.906
80;800;100;0.1;0.9;1.3;15878.11;198.476;1;100;1;;521.766
80;800;100;0.1;0.9;1.3;16810.28;210.129;1;100;2;;526.141
80;800;100;0.1;0.9;1.3;15709.18;196.365;1;100;3;;529.047
80;800;100;0.1;0.9;1.3;17316.76;216.459;1;100;4;;532.094
80;800;100;0.1;0.9;1.3;16733.88;209.173;1;100;5;;535.0
80;800;100;0.2;0.8;0.0;14406.1;180.076;91;100;0;;539.219
80;800;100;0.2;0.8;0.0;13645.95;170.574;91;100;1;;543.906
80;800;100;0.2;0.8;0.0;14557.38;181.967;75;100;2;;548.281
80;800;100;0.2;0.8;0.0;13909.62;173.87;86;100;3;;552.391
80;800;100;0.2;0.8;0.0;15014.1;187.676;94;100;4;;556.953
80;800;100;0.2;0.8;0.0;14182.52;177.282;93;100;5;;561.406
80;800;100;0.2;0.8;0.03;12002.03;150.025;100;100;0;;565.828
80;800;100;0.2;0.8;0.03;12120.46;151.506;96;100;1;;570.078
80;800;100;0.2;0.8;0.03;12093.37;151.167;96;100;2;;574.234
80;800;100;0.2;0.8;0.03;11482.4;143.53;97;100;3;;578.672
80;800;100;0.2;0.8;0.03;12105.35;151.317;96;100;4;;583.125
80;800;100;0.2;0.8;0.03;13120.37;164.005;100;100;5;;587.781
80;800;100;0.2;0.8;0.05;11589.53;144.869;94;100;0;;591.688
80;800;100;0.2;0.8;0.05;11435.43;142.943;98;100;1;;595.75
80;800;100;0.2;0.8;0.05;11399.92;142.499;99;100;2;;599.875
80;800;100;0.2;0.8;0.05;10579.5;132.244;100;100;3;;605.766
80;800;100;0.2;0.8;0.05;10906.21;136.328;100;100;4;;610.906
80;800;100;0.2;0.8;0.05;11735.81;146.698;98;100;5;;615.094
80;800;100;0.2;0.8;0.1;9689.66;121.121;96;100;0;;619.891
80;800;100;0.2;0.8;0.1;10437.48;130.468;99;100;1;;625.516
80;800;100;0.2;0.8;0.1;11268.15;140.852;99;100;2;;631.078
80;800;100;0.2;0.8;0.1;10321.8;129.023;97;100;3;;636.062
80;800;100;0.2;0.8;0.1;10804.05;135.051;97;100;4;;640.734
80;800;100;0.2;0.8;0.1;11279.66;140.996;100;100;5;;645.578
80;800;100;0.2;0.8;1.3;16793.52;209.919;1;100;0;;648.734
80;800;100;0.2;0.8;1.3;15878.11;198.476;1;100;1;;651.781
80;800;100;0.2;0.8;1.3;16810.28;210.129;1;100;2;;655.484
80;800;100;0.2;0.8;1.3;15709.18;196.365;1;100;3;;658.188
80;800;100;0.2;0.8;1.3;17316.76;216.459;1;100;4;;661.0
80;800;100;0.2;0.8;1.3;16733.88;209.173;1;100;5;;663.891
80;800;100;0.4;0.6;0.0;14008.7;175.109;86;100;0;;668.5
80;800;100;0.4;0.6;0.0;14586.4;182.33;69;100;1;;672.219
80;800;100;0.4;0.6;0.0;14477.57;180.97;85;100;2;;676.438
80;800;100;0.4;0.6;0.0;13104.84;163.811;99;100;3;;680.891
80;800;100;0.4;0.6;0.0;14745.62;184.32;71;100;4;;685.828
80;800;100;0.4;0.6;0.0;14951.3;186.891;78;100;5;;689.891
80;800;100;0.4;0.6;0.03;11906.62;148.833;94;100;0;;693.766
80;800;100;0.4;0.6;0.03;11939.37;149.242;100;100;1;;697.391
80;800;100;0.4;0.6;0.03;11109.06;138.863;93;100;2;;701.859
80;800;100;0.4;0.6;0.03;9941.78;124.272;97;100;3;;705.641
80;800;100;0.4;0.6;0.03;12080.6;151.007;100;100;4;;709.594
80;800;100;0.4;0.6;0.03;12495.83;156.198;87;100;5;;713.766
80;800;100;0.4;0.6;0.05;11260.15;140.752;96;100;0;;717.75
80;800;100;0.4;0.6;0.05;11955.64;149.446;95;100;1;;722.438
80;800;100;0.4;0.6;0.05;11008.76;137.61;95;100;2;;726.797
80;800;100;0.4;0.6;0.05;10326.06;129.076;97;100;3;;730.875
80;800;100;0.4;0.6;0.05;11354.23;141.928;98;100;4;;734.594
80;800;100;0.4;0.6;0.05;11200.0;140.0;94;100;5;;738.391
80;800;100;0.4;0.6;0.1;10408.04;130.101;98;100;0;;742.828
80;800;100;0.4;0.6;0.1;9998.31;124.979;100;100;1;;746.547
80;800;100;0.4;0.6;0.1;10295.65;128.696;100;100;2;;750.562
80;800;100;0.4;0.6;0.1;9646.57;120.582;96;100;3;;754.406
80;800;100;0.4;0.6;0.1;10740.75;134.259;91;100;4;;758.484
80;800;100;0.4;0.6;0.1;10788.35;134.854;95;100;5;;762.344
80;800;100;0.4;0.6;1.3;16793.52;209.919;1;100;0;;764.828
80;800;100;0.4;0.6;1.3;15878.11;198.476;1;100;1;;767.547
